error(percentage),method
0.251046025,Base
0.413407821,Base
0.339920949,Base
0.095808383,Base
0.397350993,Base
0.246445498,Base
0.144654088,Base
0.082417582,Base
0.670658683,Base
0.981818182,Base
0.403669725,Base
0.261437908,Base
0.238341969,Base
0.154811715,Base
0.024752475,Base
0.116751269,Base
0.322727273,Base
0.208053691,Base
0.083333333,Base
0.01025641,Base
0.186528497,Base
0.076433121,Base
0.112426036,Base
0.122340426,Base
0.048484848,Base
0.057324841,Base
0.048192771,Base
0.448275862,Base
0.313492063,Base
0.10982659,Base
0.036458333,Base
0.090452261,Base
0.08839779,Base
0.329949239,Base
0.356060606,Base
0.150837989,Base
0.276315789,Base
0.128865979,Base
0.02283105,Base
0.169642857,Base
0.114503817,Base
0.081896552,Base
0.192488263,Base
0.165354331,Base
0.089622642,Base
0.203463203,Base
0.016304348,Base
0.117647059,Base
0.052631579,Base
0.090909091,Base
0.11,Base
0.230337079,Base
0.00913242,Base
0.01843318,Base
0.190045249,Base
0.044692737,Base
0.176470588,Base
0.493506494,Base
0.108695652,Base
0.16097561,Base
0.581395349,Base
