error(percentage),method
0.139991853,LSTMx
0.060379114,LSTMx
0.0014088,LSTMx
0.087577988,LSTMx
0.188763408,LSTMx
0.009846999,LSTMx
0.087019697,LSTMx
0.196847724,LSTMx
0.062256013,LSTMx
0.207001606,LSTMx
0.375684407,LSTMx
0.138948804,LSTMx
0.095554402,LSTMx
0.446711346,LSTMx
0.022519643,LSTMx
0.266552849,LSTMx
0.205626415,LSTMx
0.215763764,LSTMx
0.149960191,LSTMx
0.443399945,LSTMx
0.358778733,LSTMx
2.020467565,LSTMx
0.382049563,LSTMx
0.519810219,LSTMx
0.038827364,LSTMx
0.47820604,LSTMx
0.36378034,LSTMx
0.055693147,LSTMx
0.013676547,LSTMx
0.088039701,LSTMx
0.282964996,LSTMx
0.234003264,LSTMx
0.160210257,LSTMx
0.093718356,LSTMx
0.075320376,LSTMx
0.132973977,LSTMx
0.084128403,LSTMx
0.161018225,LSTMx
0.405506304,LSTMx
0.113458712,LSTMx
0.082125807,LSTMx
0.20480936,LSTMx
0.057775707,LSTMx
0.148353886,LSTMx
0.153522649,LSTMx
0.364625143,LSTMx
0.116084021,LSTMx
0.130040922,LSTMx
0.086012376,LSTMx
0.100179642,LSTMx
0.260355548,LSTMx
0.043546444,LSTMx
0.012981326,LSTMx
0.159139654,LSTMx
0.063782881,LSTMx
0.005846829,LSTMx
0.274302955,LSTMx
0.076439169,LSTMx
0.091505368,LSTMx
0.054546057,LSTMx
0.06405864,LSTMx
0.127024228,LSTMx
0.336302782,LSTMx
0.217062968,LSTMx
0.21024998,LSTMx
0.175916474,LSTMx
0.225247649,LSTMx
0.296761512,LSTMx
0.078037721,LSTMx
0.393373198,LSTMx
0.216930715,LSTMx
0.087003218,LSTMx
0.03520214,LSTMx
2.203642925,LSTMx
0.466253274,LSTMx
0.034821975,LSTMx
0.236464053,LSTMx
0.24064786,LSTMx
0.244927083,LSTMx
0.060660932,LSTMx
0.236163974,LSTMx
0.391312446,LSTMx
0.081090718,LSTMx
0.161024603,LSTMx
0.045523797,LSTMx
0.336033052,LSTMx
0.124236498,LSTMx
0.198611488,LSTMx
0.02454011,LSTMx
0.088797694,LSTMx
0.126570114,LSTMx
0.023555463,LSTMx
0.261713485,LSTMx
0.445450105,LSTMx
0.021129126,LSTMx
0.119858134,LSTMx
0.034626327,LSTMx
0.131114202,LSTMx
0.479601341,LSTMx
0.290901935,LSTMx
0.240462692,LSTMx
0.144564387,LSTMx
0.191931777,LSTMx
0.077965302,LSTMx
0.214157049,LSTMx
0.068186421,LSTMx
0.065419374,LSTMx
0.101164149,LSTMx
0.198952041,LSTMx
0.037164781,LSTMx
0.150686433,LSTMx
0.062815418,LSTMx
0.192033509,LSTMx
0.125262668,LSTMx
0.084196604,LSTMx
0.110718621,LSTMx
0.186543364,LSTMx
0.098944418,LSTMx
0.041717455,LSTMx
0.055470354,LSTMx
0.106362331,LSTMx
0.02585153,LSTMx
0.329800187,LSTMx
0.020364678,LSTMx
0.27256117,LSTMx
1.068273673,LSTMx
0.01324526,LSTM
0.205693606,LSTM
0.08249743,LSTM
0.215739028,LSTM
0.075397315,LSTM
0.070433277,LSTM
0.103994159,LSTM
0.215379437,LSTM
0.013477942,LSTM
0.238177324,LSTM
0.397859755,LSTM
0.148749628,LSTM
0.061117203,LSTM
0.025653997,LSTM
0.034558373,LSTM
0.020204998,LSTM
0.073546493,LSTM
0.133575262,LSTM
0.158864969,LSTM
0.069424555,LSTM
0.127109839,LSTM
