prediction,test,method
196.5514294,209,EXP
202.7757147,220,EXP
211.3878574,200,EXP
205.6939287,178,EXP
191.8469643,219,EXP
205.4234822,217,EXP
211.2117411,221,EXP
216.1058705,179,EXP
197.5529353,187,EXP
192.2764676,154,EXP
173.1382338,230,EXP
201.5691169,205,EXP
203.2845585,172,EXP
187.6422792,72,EXP
126,154,Base
136,126,Base
116,136,Base
135,116,Base
182,135,Base
177,182,Base
179,177,Base
194,179,Base
230,194,Base
213,230,Base
275,213,Base
180,275,Base
169,180,Base
186,169,Base
188,186,Base
183,188,Base
190,183,Base
177,190,Base
210,177,Base
244,210,Base
210,244,Base
189,210,Base
164,189,Base
241,164,Base
292,241,Base
345,292,Base
331,345,Base
342,331,Base
341,342,Base
278,341,Base
303,278,Base
326,303,Base
294,326,Base
308,294,Base
274,308,Base
242,274,Base
218,242,Base
220,218,Base
156,220,Base
186,156,Base
276,186,Base
237,276,Base
242,237,Base
213,242,Base
164,213,Base
129,164,Base
52,129,Base
123,52,Base
220,123,Base
172,220,Base
288,172,Base
237,288,Base
207,237,Base
202,207,Base
221,202,Base
250,221,Base
216,250,Base
290,216,Base
248,290,Base
210,248,Base
187,210,Base
174,187,Base
183,174,Base
141,183,Base
146,141,Base
146,146,Base
188,146,Base
177,188,Base
151,177,Base
177,151,Base
116,177,Base
152,116,Base
173,152,Base
157,173,Base
148,157,Base
187,148,Base
187,187,Base
162,187,Base
208,162,Base
220,208,Base
225,220,Base
180,225,Base
204,180,Base
204,204,Base
223,204,Base
210,223,Base
176,210,Base
231,176,Base
181,231,Base
239,181,Base
179,239,Base
253,179,Base
167,253,Base
151,167,Base
211,151,Base
159,211,Base
182,159,Base
167,182,Base
55,167,Base
109,55,Base
153,109,Base
193,153,Base
239,193,Base
202,239,Base
197,202,Base
220,197,Base
149,220,Base
180,149,Base
195,180,Base
193,195,Base
157,193,Base
169,157,Base
188,169,Base
165,188,Base
157,165,Base
166,157,Base
174,166,Base
252,174,Base
173,252,Base
192,173,Base
199,192,Base
181,199,Base
197,181,Base
132,197,Base
179,132,Base
152,179,Base
194,152,Base
219,194,Base
224,219,Base
262,224,Base
232,262,Base
213,232,Base
254,213,Base
212,254,Base
231,212,Base
184,231,Base
187,184,Base
209,187,Base
220,209,Base
200,220,Base
178,200,Base
219,178,Base
217,219,Base
221,217,Base
179,221,Base
187,179,Base
154,187,Base
230,154,Base
205,230,Base
172,205,Base
72,172,Base
