creation_time,w_freq,w_Release_date_binary,w_week_of_month,w_week_of_Year
2014-01-12,158,0,2,2
2014-01-19,192,0,3,3
2014-01-26,217,0,4,4
2014-02-02,250,0,1,5
2014-02-09,268,1,2,6
2014-02-16,280,0,3,7
2014-02-23,217,0,4,8
2014-03-02,213,0,1,9
2014-03-09,203,0,2,10
2014-03-16,222,0,3,11
2014-03-23,248,1,4,12
2014-03-30,247,0,5,13
2014-04-06,231,0,1,14
2014-04-13,202,0,2,15
2014-04-20,227,0,3,16
2014-04-27,178,0,4,17
2014-05-04,318,1,1,18
2014-05-11,244,0,2,19
2014-05-18,225,0,3,20
2014-05-25,266,0,4,21
2014-06-01,219,0,1,22
2014-06-08,208,0,2,23
2014-06-15,212,1,3,24
2014-06-22,166,0,4,25
2014-06-29,193,0,5,26
2014-07-06,113,0,1,27
2014-07-13,177,0,2,28
2014-07-20,147,0,3,29
2014-07-27,232,1,4,30
2014-08-03,188,0,1,31
2014-08-10,159,0,2,32
2014-08-17,166,0,3,33
2014-08-24,183,0,4,34
2014-08-31,244,0,5,35
2014-09-07,183,1,2,36
2014-09-14,252,0,3,37
2014-09-21,249,0,4,38
2014-09-28,205,0,5,39
2014-10-05,183,0,1,40
2014-10-12,200,0,2,41
2014-10-19,208,1,3,42
2014-10-26,233,0,4,43
2014-11-02,188,0,1,44
2014-11-09,259,0,2,45
2014-11-16,318,0,3,46
2014-11-23,259,0,4,47
2014-11-30,227,0,5,48
2014-12-07,186,1,2,49
2014-12-14,255,0,3,50
2014-12-21,169,0,4,51
2014-12-28,106,0,5,52
2015-01-04,107,0,1,1
2015-01-11,189,0,2,2
2015-01-18,188,1,3,3
2015-01-25,202,0,4,4
2015-02-01,229,0,1,5
2015-02-08,169,0,2,6
2015-02-15,114,0,3,7
2015-02-22,149,0,4,8
2015-03-01,211,1,1,9
2015-03-08,200,0,2,10
2015-03-15,153,0,3,11
2015-03-22,168,0,4,12
2015-03-29,233,0,5,13
2015-04-05,152,1,1,14
2015-04-12,185,0,2,15
2015-04-19,161,0,3,16
2015-04-26,191,0,4,17
2015-05-03,155,0,1,18
2015-05-10,220,0,2,19
2015-05-17,210,1,3,20
2015-05-24,217,0,4,21
2015-05-31,157,0,5,22
2015-06-07,177,1,2,23
2015-06-14,164,0,3,24
2015-06-21,186,0,4,25
2015-06-28,127,0,5,26
2015-07-05,157,1,1,27
2015-07-12,201,0,2,28
2015-07-19,191,0,3,29
2015-07-26,202,0,4,30
2015-08-02,223,0,1,31
2015-08-09,212,0,2,32
2015-08-16,272,1,3,33
2015-08-23,222,0,4,34
2015-08-30,234,0,5,35
2015-09-06,187,0,1,36
2015-09-13,172,0,2,37
2015-09-20,145,0,3,38
2015-09-27,192,1,4,39
2015-10-04,185,0,1,40
2015-10-11,161,0,2,41
2015-10-18,160,0,3,42
2015-10-25,136,0,4,43
2015-11-01,117,0,1,44
2015-11-08,156,1,2,45
2015-11-15,111,0,3,46
2015-11-22,132,0,4,47
2015-11-29,117,0,5,48
2015-12-06,114,0,1,49
2015-12-13,122,0,2,50
2015-12-20,136,1,3,51
2015-12-27,113,0,4,52
2016-01-03,116,0,1,1
2016-01-10,134,0,2,2
2016-01-17,139,0,3,3
2016-01-24,138,0,4,4
2016-01-31,152,1,5,5
2016-02-07,156,0,2,6
2016-02-14,132,0,3,7
2016-02-21,143,0,4,8
2016-02-28,176,0,5,9
2016-03-06,125,0,1,10
2016-03-13,165,1,2,11
2016-03-20,127,0,3,12
2016-03-27,122,0,4,13
2016-04-03,125,0,1,14
2016-04-10,154,0,2,15
2016-04-17,105,0,3,16
2016-04-24,118,0,4,17
2016-05-01,181,1,1,18
2016-05-08,167,0,2,19
2016-05-15,153,0,3,20
2016-05-22,158,0,4,21
2016-05-29,108,0,5,22
2016-06-05,124,0,1,23
2016-06-12,132,1,2,24
2016-06-19,112,0,3,25
2016-06-26,118,0,4,26
2016-07-03,129,0,1,27
2016-07-10,116,0,2,28
2016-07-17,90,0,3,29
2016-07-24,105,0,4,30
2016-07-31,105,0,5,31
2016-08-07,177,1,2,32
2016-08-14,145,0,3,33
2016-08-21,152,0,4,34
2016-08-28,178,0,5,35
2016-09-04,147,0,1,36
2016-09-11,122,0,2,37
2016-09-18,119,0,3,38
2016-09-25,118,1,4,39
2016-10-02,102,0,1,40
2016-10-09,114,0,2,41
2016-10-16,130,0,3,42
2016-10-23,149,0,4,43
2016-10-30,131,0,5,44
2016-11-06,104,0,1,45
2016-11-13,95,0,2,46
2016-11-20,136,1,3,47
2016-11-27,168,0,4,48
2016-12-04,107,0,1,49
2016-12-11,99,0,2,50
2016-12-18,102,1,3,51
2016-12-25,108,0,4,52
2017-01-01,353,0,1,1
2017-01-08,96,0,2,2
2017-01-15,140,0,3,3
2017-01-22,137,0,4,4
2017-01-29,183,1,5,5
2017-02-05,154,0,1,6
2017-02-12,126,0,2,7
2017-02-19,136,0,3,8
2017-02-26,116,0,4,9
2017-03-05,135,0,1,10
2017-03-12,182,1,2,11
2017-03-19,177,0,3,12
2017-03-26,179,0,4,13
2017-04-02,194,0,1,14
2017-04-09,230,0,2,15
2017-04-16,213,0,3,16
2017-04-23,275,1,4,17
2017-04-30,180,0,5,18
2017-05-07,169,0,2,19
2017-05-14,186,0,3,20
2017-05-21,188,0,4,21
2017-05-28,183,0,5,22
2017-06-04,190,0,1,23
2017-06-11,177,0,2,24
2017-06-18,210,1,3,25
2017-06-25,244,0,4,26
2017-07-02,210,0,1,27
2017-07-09,189,0,2,28
2017-07-16,164,0,3,29
2017-07-23,241,0,4,30
2017-07-30,292,0,5,31
2017-08-06,345,0,1,32
2017-08-13,331,1,2,33
2017-08-20,342,0,3,34
2017-08-27,341,0,4,35
2017-09-03,278,0,1,36
2017-09-10,303,0,2,37
2017-09-17,326,0,3,38
2017-09-24,294,0,4,39
2017-10-01,308,1,1,40
2017-10-08,274,0,2,41
2017-10-15,242,0,3,42
2017-10-22,218,0,4,43
2017-10-29,220,0,5,44
2017-11-05,156,0,1,45
2017-11-12,186,0,2,46
2017-11-19,276,1,3,47
2017-11-26,237,0,4,48
2017-12-03,242,0,1,49
2017-12-10,213,0,2,50
2017-12-17,164,0,3,51
2017-12-24,129,0,4,52
2017-12-31,52,0,5,53
2018-01-07,123,0,2,1
2018-01-14,220,0,3,2
2018-01-21,172,0,4,3
2018-01-28,288,1,5,4
2018-02-04,237,0,1,5
2018-02-11,207,0,2,6
2018-02-18,202,0,3,7
2018-02-25,221,0,4,8
2018-03-04,250,0,1,9
2018-03-11,216,0,2,10
2018-03-18,290,1,3,11
2018-03-25,248,0,4,12
2018-04-01,210,0,1,13
2018-04-08,187,0,2,14
2018-04-15,174,0,3,15
2018-04-22,183,0,4,16
2018-04-29,141,0,5,17
2018-05-06,146,0,1,18
2018-05-13,146,1,2,19
2018-05-20,188,0,3,20
2018-05-27,177,0,4,21
2018-06-03,151,0,1,22
2018-06-10,177,0,2,23
2018-06-17,116,0,3,24
2018-06-24,152,0,4,25
2018-07-01,173,1,1,26
2018-07-08,157,0,2,27
2018-07-15,148,0,3,28
2018-07-22,187,0,4,29
2018-07-29,187,0,5,30
2018-08-05,162,0,1,31
2018-08-12,208,0,2,32
2018-08-19,220,0,3,33
2018-08-26,225,0,4,34
2018-09-02,180,0,1,35
2018-09-09,204,1,2,36
2018-09-16,204,0,3,37
2018-09-23,223,0,4,38
2018-09-30,210,0,5,39
2018-10-07,176,0,2,40
2018-10-14,231,0,3,41
2018-10-21,181,0,4,42
2018-10-28,239,1,5,43
2018-11-04,179,0,1,44
2018-11-11,253,0,2,45
2018-11-18,167,0,3,46
2018-11-25,151,0,4,47
2018-12-02,211,0,1,48
2018-12-09,159,0,2,49
2018-12-16,182,1,3,50
2018-12-23,167,0,4,51
2018-12-30,55,0,5,52
2019-01-06,109,0,1,1
2019-01-13,153,0,2,2
2019-01-20,193,0,3,3
2019-01-27,239,0,4,4
2019-02-03,202,1,1,5
2019-02-10,197,0,2,6
2019-02-17,220,0,3,7
2019-02-24,149,0,4,8
2019-03-03,180,0,1,9
2019-03-10,195,0,2,10
2019-03-17,193,0,3,11
2019-03-24,157,1,4,12
2019-03-31,169,0,5,13
2019-04-07,188,0,2,14
2019-04-14,165,0,3,15
2019-04-21,157,0,4,16
2019-04-28,166,0,5,17
2019-05-05,174,0,1,18
2019-05-12,252,0,2,19
2019-05-19,173,0,3,20
2019-05-26,192,1,4,21
2019-06-02,199,0,1,22
2019-06-09,181,0,2,23
2019-06-16,197,0,3,24
2019-06-23,132,0,4,25
2019-06-30,179,0,5,26
2019-07-07,152,0,2,27
2019-07-14,194,1,3,28
2019-07-21,219,0,4,29
2019-07-28,224,0,5,30
2019-08-04,262,0,1,31
2019-08-11,232,0,2,32
2019-08-18,213,0,3,33
2019-08-25,254,0,4,34
2019-09-01,212,0,1,35
2019-09-08,231,1,2,36
2019-09-15,184,0,3,37
2019-09-22,187,0,4,38
2019-09-29,209,0,5,39
2019-10-06,220,0,1,40
2019-10-13,200,0,2,41
2019-10-20,178,0,3,42
2019-10-27,219,1,4,43
2019-11-03,217,0,1,44
2019-11-10,221,0,2,45
2019-11-17,179,0,3,46
2019-11-24,187,0,4,47
2019-12-01,154,0,1,48
2019-12-08,230,1,2,49
2019-12-15,205,0,3,50
2019-12-22,172,0,4,51
2019-12-29,72,0,5,52
